,lgX,eventId,eventStart,Teamid_0,Teamid_1,siX,btX,marketLineId,marketId,points,american_price,price,sourcePrice
0,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt2,-115,222151771,1513897,17.5,-115,1.86956522
1,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt1,1500,222151778,1513899,0.0,1500,16.0
2,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt3,-125,222151775,1513901,44.5,-125,1.8
3,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms2:an0,bt2,-104,222152726,1513897,17.5,-104,-104.0
4,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms2:an0,bt1,1300,222152730,1513899,0.0,1300,1300.0
5,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms2:an0,bt3,-104,222152724,1513901,43.5,-104,-104.0
6,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms6:an0,bt2,-110,222153676,1513897,-1.0,-110,-105.0
7,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms6:an0,bt1,-110,222153674,1513899,,-110,155.0
8,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms6:an0,bt3,-110,222153678,1513901,-1.0,-110,-110.0
9,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt2,-113,222152595,1513897,17.5,-113,-113.0
10,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt1,1281,222152593,1513899,,1281,1281.0
11,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt3,-110,222152597,1513901,42.5,-110,-110.0
12,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt2,-110,222152831,1513897,-1.0,-110,1.92307
13,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt1,-110,222152829,1513899,,-110,14.28571
14,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt3,-110,222152837,1513901,-1.0,-110,1.98019
15,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an1,bt2,-110,222152832,1513897,-1.0,-110,1.73913
16,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an1,bt3,-110,222152838,1513901,-1.0,-110,2.35294
17,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an2,bt2,-110,222152833,1513897,-1.0,-110,2.24719
18,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an2,bt3,-110,222152839,1513901,-1.0,-110,1.7094
19,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms17:an0,bt2,-112,222154717,1513897,12.0,-112,1.89286
20,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms17:an0,bt1,650,222154715,1513899,,650,7.5
21,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms17:an0,bt3,-117,222154722,1513901,38.0,-117,1.8547
22,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms20:an0,bt2,100,222181780,1513897,10.5,100,2.0
23,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms20:an0,bt1,525,222181779,1513899,,525,6.25
24,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt2,-105,222154009,1513897,3.0,-105,-105.0
25,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt1,145,222154007,1513899,,145,145.0
26,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt3,-110,222154011,1513901,42.5,-110,-110.0
27,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms27:an0,bt2,-117,222152486,1513897,12.5,-117,1.8547
28,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms27:an0,bt1,650,222152485,1513899,,650,7.5
29,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms27:an0,bt3,-118,222152490,1513901,37.5,-118,1.84746
30,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt2,-110,222152378,1513897,11.5,-110,1.91
31,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt1,700,222152374,1513899,,700,8.0
32,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt3,-105,222152376,1513901,37.5,-105,1.95
33,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms67:an0,bt2,277,222150227,1513897,10.5,277,265000.0
34,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms67:an0,bt1,1900,222151695,1513899,,1900,50000.0
35,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si1:ms67:an0,bt3,-108,222151839,1513901,43.5,-108,520000.0
36,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt2,-115,222151773,1513898,-17.5,-115,1.86956522
37,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt1,-6000,222151780,1513900,0.0,-6000,1.01666667
38,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt3,-105,222151776,1513902,44.5,-105,1.95238096
39,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt2,-125,222152728,1513898,-17.5,-125,-125.0
40,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt1,-5000,222152732,1513900,0.0,-5000,-5000.0
41,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt3,-125,222152725,1513902,43.5,-125,-125.0
42,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms6:an0,bt2,-110,222153677,1513898,-1.0,-110,-115.0
43,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms6:an0,bt1,-110,222153675,1513900,,-110,-175.0
44,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms6:an0,bt3,-110,222153679,1513902,-1.0,-110,-110.0
45,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt2,-106,222152596,1513898,-17.5,-106,-106.0
46,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt1,-2985,222152594,1513900,,-2985,-2985.0
47,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt3,-109,222152598,1513902,42.5,-109,-109.0
48,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt2,-110,222152834,1513898,-1.0,-110,1.92307
49,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt1,-110,222152830,1513900,,-110,1.03092
50,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt3,-110,222152840,1513902,-1.0,-110,1.86915
51,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an1,bt2,-110,222152835,1513898,-1.0,-110,2.15053
52,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an1,bt3,-110,222152841,1513902,-1.0,-110,1.62601
53,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an2,bt2,-110,222152836,1513898,-1.0,-110,1.68067
54,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an2,bt3,-110,222152842,1513902,-1.0,-110,2.1978
55,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms17:an0,bt2,-115,222154731,1513898,-12.0,-115,1.86957
56,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms17:an0,bt1,-1115,222154729,1513900,,-1115,1.08969
57,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms17:an0,bt3,-110,222154736,1513902,38.0,-110,1.90909
58,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms20:an0,bt2,-130,222181787,1513898,-10.5,-130,1.77
59,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms20:an0,bt1,-833,222181784,1513900,,-833,1.12
60,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt2,-118,222154010,1513898,-3.0,-118,-118.0
61,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt1,-189,222154008,1513900,,-189,-189.0
62,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt3,-110,222154012,1513902,42.5,-110,-110.0
63,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms27:an0,bt2,-110,222152498,1513898,-12.5,-110,1.90909
64,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms27:an0,bt1,-1250,222152495,1513900,,-1250,1.08
65,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms27:an0,bt3,-108,222152504,1513902,37.5,-108,1.92593
66,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt2,-120,222152379,1513898,-11.5,-120,1.83
67,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt1,-1400,222152375,1513900,,-1400,1.07
68,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt3,-125,222152377,1513902,37.5,-125,1.8
69,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms67:an0,bt2,-292,222150232,1513898,-10.5,-292,745000.0
70,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms67:an0,bt1,-2757,222151717,1513900,,-2757,965000.0
71,lg1:pt1:live,21911,2022-12-16T01:15:00,27,28,si0:ms67:an0,bt3,104,222151840,1513902,43.5,104,490000.0
72,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt2,115,222154030,1513934,-1.5,115,115.0
73,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt3,-100,222154034,1513936,7.5,-100,-100.0
74,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt1,-143,222154028,1513905,,-143,-143.0
75,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt2,115,222152244,1513934,-0.5,115,2.15
76,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt3,115,222152247,1513936,4.5,115,2.15
77,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt2,145,222152162,1513934,-3.5,145,2.45
78,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt3,-110,222152165,1513936,3.5,-110,1.90909091
79,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt1,-1050,222151968,1513905,0.0,-1050,1.0952381
80,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt2,-120,222155560,1513934,-2.5,-120,-120.0
81,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt3,-104,222152688,1513936,5.5,-104,-104.0
82,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt1,-270,222155558,1513905,0.0,-270,-270.0
83,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt2,130,222163836,1513934,-0.5,130,130.0
84,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt3,105,222163841,1513936,7.5,105,105.0
85,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt1,-122,222163832,1513905,,-122,-122.0
86,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt2,-110,222152859,1513934,-1.0,-110,2.27272
87,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt3,-110,222152863,1513936,-1.0,-110,2.08333
88,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt1,-110,222152854,1513905,,-110,1.02564
89,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt3,-120,222152163,1513935,3.5,-120,1.83333334
90,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt1,650,222151955,1513903,0.0,650,7.5
91,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt2,-180,222152159,1513933,3.5,-180,1.55555556
