,marketLineId,isBlurred,marketId,marketSourceId,points,price,americanPrice,sourcePrice,sourceFormat,alternateNumber,statusId,sequenceNumber,overrideType,includePeg,stn,cr,ib,tm,createdOn,createdBy,modifiedOn,modifiedBy,id,0
si0:ms4:an0,218444949.0,False,1447778.0,4.0,,115.0,115.0,2.15,2.0,0.0,1.0,1670963536547.0,,True,0.0,115.0,True,,2022-12-12T15:46:59.306408,-2.0,2022-12-13T20:32:28.085772,-2.0,,
si0:ms52:an0,218437931.0,False,1447778.0,52.0,,132.0,132.0,132.0,1.0,0.0,1.0,1670980871336.0,,True,0.0,132.0,False,,2022-12-12T15:32:20.067047,-11.0,2022-12-14T01:21:13.906938,-11.0,,
si0:ms59:an0,218404994.0,False,1447778.0,59.0,0.0,130.0,130.0,130.0,1.0,0.0,1.0,1670963182349.0,,True,0.0,130.0,True,,2022-12-12T14:24:40.330347,-42.0,2022-12-13T20:26:28.050315,-42.0,,
si0:ms66:an0,218425128.0,False,1447778.0,66.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1670987933075.0,,True,0.0,128.0,True,,2022-12-12T15:03:46.810446,-62.0,2022-12-14T03:18:53.682184,-62.0,,
si0:ms61:an0,,,,,,,,,,,,,,,,,,,,,,,,
si0:ms2:an0,211902294.0,False,1447778.0,2.0,0.0,126.0,126.0,126.0,1.0,0.0,1.0,1670968519573.0,,True,0.0,126.0,True,,2022-12-06T21:43:50.508037,-20.0,2022-12-13T21:55:20.555702,-20.0,,
si0:ms28:an0,218469477.0,False,1447778.0,28.0,0.0,125.0,125.0,2.25,2.0,0.0,1.0,1670964475229.0,,True,0.0,125.0,True,,2022-12-12T16:56:35.02095,-29.0,2022-12-13T20:47:55.766475,-29.0,,
si0:ms8:an0,218379875.0,False,1447778.0,8.0,,125.0,125.0,125.0,1.0,0.0,1.0,1670967215479.0,,True,0.0,125.0,True,,2022-12-12T13:22:28.136451,-6.0,2022-12-13T21:33:35.912831,-6.0,,
si0:ms3:an0,218437933.0,False,1447778.0,3.0,,130.0,130.0,130.0,1.0,0.0,1.0,1670963196551.0,,True,0.0,130.0,True,,2022-12-12T15:32:20.101017,-11.0,2022-12-13T20:26:38.816661,-11.0,,
si0:ms9:an0,218437927.0,False,1447778.0,9.0,,124.0,124.0,124.0,1.0,0.0,1.0,1670963246128.0,,True,0.0,124.0,True,,2022-12-12T15:32:19.995593,-11.0,2022-12-13T20:27:28.663284,-11.0,,
si0:ms1:an0,218444797.0,False,1447778.0,1.0,0.0,130.0,130.0,2.3,2.0,0.0,1.0,1670966008820.0,,True,0.0,130.0,True,,2022-12-12T15:46:49.468971,-25.0,2022-12-13T21:13:31.190229,-25.0,,
si0:ms7:an0,218437932.0,True,1447778.0,7.0,,-110.0,-110.0,130.0,1.0,0.0,1.0,1670980662070.0,,True,,,True,,2022-12-12T15:32:20.083824,-11.0,2022-12-14T01:17:44.122703,-11.0,,
si0:ms6:an0,218425555.0,True,1447778.0,6.0,,-110.0,-110.0,135.0,1.0,0.0,1.0,1670971736661.0,,True,,,True,,2022-12-12T15:04:25.432419,-16.0,2022-12-13T22:48:58.216726,-16.0,,
si0:ms27:an0,218444950.0,False,1447778.0,27.0,,135.0,135.0,2.35,2.0,0.0,1.0,1670963560845.0,,True,0.0,135.0,True,,2022-12-12T15:46:59.343599,-2.0,2022-12-13T20:32:52.769424,-2.0,,
si0:ms11:an0,218395314.0,True,1447778.0,11.0,,-110.0,-110.0,2.22222,2.0,0.0,1.0,1670965929271.0,,True,,,False,,2022-12-12T13:59:06.721469,-5.0,2022-12-13T21:12:10.083368,-5.0,,
si0:ms17:an0,218444947.0,False,1447778.0,17.0,,135.0,135.0,2.35,2.0,0.0,1.0,1670963496323.0,,True,0.0,135.0,True,,2022-12-12T15:46:59.244031,-2.0,2022-12-13T20:31:47.767152,-2.0,,
si0:ms21:an0,219756747.0,False,1447778.0,21.0,,120.0,120.0,120.0,1.0,0.0,1.0,1670971316222.0,,True,0.0,120.0,True,,2022-12-13T04:52:15.431973,-16.0,2022-12-13T22:41:58.798628,-16.0,,
si0:ms10:an0,218437928.0,False,1447778.0,10.0,,130.0,130.0,130.0,1.0,0.0,1.0,1670963556739.0,,True,0.0,130.0,True,,2022-12-12T15:32:20.014043,-11.0,2022-12-13T20:32:38.477396,-11.0,,
si0:ms20:an0,218444951.0,False,1447778.0,20.0,,135.0,135.0,2.35,2.0,0.0,1.0,1670963536547.0,,True,0.0,135.0,True,,2022-12-12T15:46:59.368006,-2.0,2022-12-13T20:32:28.097999,-2.0,,
si0:ms33:an0,218573742.0,False,1447778.0,33.0,,127.0,127.0,2.27,2.0,0.0,1.0,1670965897003.0,,True,0.0,127.0,True,,2022-12-12T19:30:28.971356,-2.0,2022-12-13T21:11:47.109955,-2.0,,
si0:ms49:an0,218379889.0,True,1447778.0,49.0,,-110.0,-110.0,0.425531914893617,4.0,0.0,1.0,1670980664492.0,,True,,,False,,2022-12-12T13:22:30.612514,-19.0,2022-12-14T01:17:45.044912,-19.0,,
si0:ms62:an0,,,,,,,,,,,,,,,,,,,,,,,,
si0:ms53:an0,218437930.0,False,1447778.0,53.0,,124.0,124.0,124.0,1.0,0.0,1.0,1670963227438.0,,True,0.0,124.0,True,,2022-12-12T15:32:20.05028,-11.0,2022-12-13T20:27:08.936053,-11.0,,
si0:ms54:an0,218437934.0,False,1447778.0,54.0,,124.0,124.0,124.0,1.0,0.0,1.0,1670963216844.0,,True,0.0,124.0,True,,2022-12-12T15:32:20.121025,-11.0,2022-12-13T20:26:59.199306,-11.0,,
si0:ms60:an0,218317441.0,False,1447778.0,60.0,,125.0,125.0,2.25,2.0,0.0,1.0,1670968519420.0,,True,0.0,125.0,True,,2022-12-12T06:15:06.563577,-45.0,2022-12-13T21:55:20.889236,-45.0,,
si0:ms56:an0,218437936.0,False,1447778.0,56.0,,130.0,130.0,130.0,1.0,0.0,1.0,1670965651302.0,,True,0.0,130.0,True,,2022-12-12T15:32:20.155828,-11.0,2022-12-13T21:07:33.347062,-11.0,,
si0:ms55:an0,219898951.0,False,1447778.0,55.0,,130.0,130.0,130.0,1.0,0.0,1.0,1670973291196.0,,True,0.0,130.0,True,,2022-12-13T14:50:18.255783,-11.0,2022-12-13T23:14:53.336706,-11.0,,
si0:ms67:an0,218395841.0,False,1447778.0,67.0,,135.0,135.0,425000.0,5.0,0.0,1.0,1670964419432.0,,True,0.0,135.0,True,,2022-12-12T14:00:12.782481,-65.0,2022-12-13T20:47:00.474014,-65.0,,
si0:ms31:an0,218437935.0,False,1447778.0,31.0,,132.0,132.0,132.0,1.0,0.0,1.0,1670963382609.0,,True,0.0,132.0,True,,2022-12-12T15:32:20.138266,-11.0,2022-12-13T20:29:44.691743,-11.0,,
si1:ms66:an0,218425127.0,False,1447777.0,66.0,0.0,-150.0,-150.0,-150.0,1.0,0.0,1.0,1670987947055.0,,True,0.0,-150.0,True,,2022-12-12T15:03:46.794297,-62.0,2022-12-14T03:19:14.124743,-62.0,,
si1:ms52:an0,218437921.0,False,1447777.0,52.0,,-144.0,-144.0,-144.0,1.0,0.0,1.0,1670981777455.0,,True,0.0,-144.0,False,,2022-12-12T15:32:19.870669,-11.0,2022-12-14T01:36:24.132276,-11.0,,
si1:ms49:an0,218379888.0,True,1447777.0,49.0,,-110.0,-110.0,0.573717303767497,4.0,0.0,1.0,1670980664492.0,,True,,,False,,2022-12-12T13:22:30.596322,-19.0,2022-12-14T01:17:45.025725,-19.0,,
si1:ms7:an0,218437922.0,True,1447777.0,7.0,,-110.0,-110.0,-145.0,1.0,0.0,1.0,1670980662070.0,,True,,,True,,2022-12-12T15:32:19.887512,-11.0,2022-12-14T01:17:44.107322,-11.0,,
si1:ms33:an0,218573738.0,False,1447777.0,33.0,,-149.0,-149.0,1.67,2.0,0.0,1.0,1670965897003.0,,True,0.0,-149.0,True,,2022-12-12T19:30:28.934006,-2.0,2022-12-13T21:11:47.080699,-2.0,,
si1:ms60:an0,218317437.0,False,1447777.0,60.0,,-145.0,-145.0,1.69,2.0,0.0,1.0,1670968519420.0,,True,0.0,-145.0,True,,2022-12-12T06:15:06.52371,-45.0,2022-12-13T21:55:20.87473,-45.0,,
si1:ms28:an0,218469476.0,False,1447777.0,28.0,0.0,-145.0,-145.0,1.68965517241379,2.0,0.0,1.0,1670964475229.0,,True,0.0,-145.0,True,,2022-12-12T16:56:35.001531,-29.0,2022-12-13T20:47:55.748793,-29.0,,
si1:ms20:an0,218444924.0,False,1447777.0,20.0,,-161.0,-161.0,1.62,2.0,0.0,1.0,1670963536547.0,,True,0.0,-161.0,True,,2022-12-12T15:46:58.804231,-2.0,2022-12-13T20:32:28.043745,-2.0,,
si1:ms31:an0,218437925.0,False,1447777.0,31.0,,-159.0,-159.0,-159.0,1.0,0.0,1.0,1670963382609.0,,True,0.0,-159.0,True,,2022-12-12T15:32:19.96049,-11.0,2022-12-13T20:29:44.675481,-11.0,,
si1:ms10:an0,218437917.0,False,1447777.0,10.0,,-150.0,-150.0,-150.0,1.0,0.0,1.0,1670963556739.0,,True,0.0,-150.0,True,,2022-12-12T15:32:19.817947,-11.0,2022-12-13T20:32:38.464594,-11.0,,
