,eventId,sideId,score,rotationNumber,name,abbreviation,logoUrl,leagueId,divisionId,divisionAbbreviation,conferenceAbbreviation,teamPeople,createdOn,createdBy,modifiedOn,modifiedBy,id
19,21883,1,,302,New England Patriots,NE,https://assets.unabated.com/teams/logos/nfl/ne.svg,1,1,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,19
4,21883,0,,301,Buffalo Bills,BUF,https://assets.unabated.com/teams/logos/nfl/buf.svg,1,1,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,4
2,21884,1,,456,Atlanta Falcons,ATL,https://assets.unabated.com/teams/logos/nfl/atl.svg,1,8,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,2
25,21884,0,,455,Pittsburgh Steelers,PIT,https://assets.unabated.com/teams/logos/nfl/pit.svg,1,3,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,25
6,21885,1,,466,Chicago Bears,CHI,https://assets.unabated.com/teams/logos/nfl/chi.svg,1,7,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,6
12,21885,0,,465,Green Bay Packers,GB,https://assets.unabated.com/teams/logos/nfl/gb.svg,1,7,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,12
11,21886,1,,460,Detroit Lions,DET,https://assets.unabated.com/teams/logos/nfl/det.svg,1,7,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,11
15,21886,0,,459,Jacksonville Jaguars,JAX,https://assets.unabated.com/teams/logos/nfl/jax.svg,1,4,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,15
18,21887,1,,452,Minnesota Vikings,MIN,https://assets.unabated.com/teams/logos/nfl/min.svg,1,7,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,18
22,21887,0,,451,New York Jets,NYJ,https://assets.unabated.com/teams/logos/nfl/nyj.svg,1,1,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,22
32,21888,0,,461,Washington Commanders,WAS,https://assets.unabated.com/teams/logos/nfl/was.svg,1,5,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,32
21,21888,1,,462,New York Giants,NYG,https://assets.unabated.com/teams/logos/nfl/nyg.svg,1,5,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,21
31,21889,0,,457,Tennessee Titans,TEN,https://assets.unabated.com/teams/logos/nfl/ten.svg,1,4,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,31
24,21889,1,,458,Philadelphia Eagles,PHI,https://assets.unabated.com/teams/logos/nfl/phi.svg,1,5,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,24
3,21890,1,,454,Baltimore Ravens,BAL,https://assets.unabated.com/teams/logos/nfl/bal.svg,1,3,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,3
10,21890,0,,453,Denver Broncos,DEN,https://assets.unabated.com/teams/logos/nfl/den.svg,1,2,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,10
13,21891,1,,464,Houston Texans,HOU,https://assets.unabated.com/teams/logos/nfl/hou.svg,1,4,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,13
8,21891,0,,463,Cleveland Browns,CLE,https://assets.unabated.com/teams/logos/nfl/cle.svg,1,3,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,8
29,21892,1,,468,Los Angeles Rams,LAR,https://assets.unabated.com/teams/logos/nfl/lar.svg,1,6,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,29
28,21892,0,,467,Seattle Seahawks,SEA,https://assets.unabated.com/teams/logos/nfl/sea.svg,1,6,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,28
27,21893,1,,470,San Francisco 49ers,SF,https://assets.unabated.com/teams/logos/nfl/sf.svg,1,6,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,27
17,21893,0,,469,Miami Dolphins,MIA,https://assets.unabated.com/teams/logos/nfl/mia.svg,1,1,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,17
16,21894,0,,473,Kansas City Chiefs,KC,https://assets.unabated.com/teams/logos/nfl/kc.svg,1,2,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,16
7,21894,1,,474,Cincinnati Bengals,CIN,https://assets.unabated.com/teams/logos/nfl/cin.svg,1,3,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,7
23,21895,1,,,Las Vegas Raiders,LV,https://assets.unabated.com/teams/logos/nfl/lv.svg,1,2,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,23
26,21895,0,,,Los Angeles Chargers,LAC,https://assets.unabated.com/teams/logos/nfl/lac.svg,1,2,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,26
14,21896,0,,475,Indianapolis Colts,IND,https://assets.unabated.com/teams/logos/nfl/ind.svg,1,4,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,14
9,21896,1,,476,Dallas Cowboys,DAL,https://assets.unabated.com/teams/logos/nfl/dal.svg,1,5,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,9
30,21897,1,,478,Tampa Bay Buccaneers,TB,https://assets.unabated.com/teams/logos/nfl/tb.svg,1,8,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,30
20,21897,0,,477,New Orleans Saints,NO,https://assets.unabated.com/teams/logos/nfl/no.svg,1,8,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,20
5,21908,0,,121,Carolina Panthers,CAR,https://assets.unabated.com/teams/logos/nfl/car.svg,1,8,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,5
1,21910,1,,128,Arizona Cardinals,ARI,https://assets.unabated.com/teams/logos/nfl/ari.svg,1,6,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,1
736,26178,0,1,15,Tampa Bay Lightning,TBL,https://assets.unabated.com/teams/logos/nhl/tbl.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,736
729,26178,1,3,16,Boston Bruins,BOS,https://assets.unabated.com/teams/logos/nhl/bos.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,729
749,26180,0,4,13,San Jose Sharks,SJS,https://assets.unabated.com/teams/logos/nhl/sjs.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,749
731,26180,1,0,14,Montreal Canadiens,MTL,https://assets.unabated.com/teams/logos/nhl/mtl.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,731
734,26181,0,3,17,Carolina Hurricanes,CAR,https://assets.unabated.com/teams/logos/nhl/car.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,734
728,26181,1,2,18,Pittsburgh Penguins,PIT,https://assets.unabated.com/teams/logos/nhl/pit.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,728
727,26183,1,3,20,Philadelphia Flyers,PHI,https://assets.unabated.com/teams/logos/nhl/phi.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,727
725,26183,0,1,19,New York Islanders,NYI,https://assets.unabated.com/teams/logos/nhl/nyi.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,725
743,26185,0,0,23,Colorado Avalanche,COL,https://assets.unabated.com/teams/logos/nhl/col.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,743
752,26185,1,5,24,Winnipeg Jets,WPG,https://assets.unabated.com/teams/logos/nhl/wpg.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,752
740,26186,1,2,22,Nashville Predators,NSH,https://assets.unabated.com/teams/logos/nhl/nsh.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,740
746,26186,0,1,21,Anaheim Ducks,ANA,https://assets.unabated.com/teams/logos/nhl/ana.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,746
735,26188,0,2,25,Florida Panthers,FLA,https://assets.unabated.com/teams/logos/nhl/fla.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,735
742,26188,1,4,26,Calgary Flames,CGY,https://assets.unabated.com/teams/logos/nhl/cgy.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,742
737,26190,0,3,27,Washington Capitals,WSH,https://assets.unabated.com/teams/logos/nhl/wsh.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,737
745,26190,1,1,28,Vancouver Canucks,VAN,https://assets.unabated.com/teams/logos/nhl/van.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,745
748,26192,1,0,30,Los Angeles Kings,LAK,https://assets.unabated.com/teams/logos/nhl/lak.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,748
755,26192,0,0,29,Seattle Kraken,SEA,https://assets.unabated.com/teams/logos/nhl/sea.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,755
732,26193,1,,32,Ottawa Senators,OTT,https://assets.unabated.com/teams/logos/nhl/ott.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,732
726,26193,0,,31,New York Rangers,NYR,https://assets.unabated.com/teams/logos/nhl/nyr.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,726
733,26195,1,,34,Toronto Maple Leafs,TOR,https://assets.unabated.com/teams/logos/nhl/tor.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,733
730,26197,0,,35,Buffalo Sabres,BUF,https://assets.unabated.com/teams/logos/nhl/buf.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,730
739,26197,1,,36,Detroit Red Wings,DET,https://assets.unabated.com/teams/logos/nhl/det.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,739
738,26198,1,,38,Chicago Blackhawks,CHI,https://assets.unabated.com/teams/logos/nhl/chi.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,738
744,26198,0,,37,Edmonton Oilers,EDM,https://assets.unabated.com/teams/logos/nhl/edm.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,744
754,26204,0,,,Vegas Golden Knights,VGK,https://assets.unabated.com/teams/logos/nhl/vgk.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,754
724,26205,1,,,New Jersey Devils,NJD,https://assets.unabated.com/teams/logos/nhl/njd.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,724
751,26207,1,,,Minnesota Wild,MIN,https://assets.unabated.com/teams/logos/nhl/min.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,751
741,26209,1,,,St. Louis Blues,STL,https://assets.unabated.com/teams/logos/nhl/stl.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,741
747,26210,1,,,Dallas Stars,DAL,https://assets.unabated.com/teams/logos/nhl/dal.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,747
753,26217,0,,,Arizona Coyotes,ARI,https://assets.unabated.com/teams/logos/nhl/ari.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,753
750,26222,0,,,Columbus Blue Jackets,CBJ,https://assets.unabated.com/teams/logos/nhl/cbj.svg,6,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,750
71,26743,1,110,522,Detroit Pistons,DET,https://assets.unabated.com/teams/logos/nba/det.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,71
82,26743,0,140,521,New York Knicks,NYK,https://assets.unabated.com/teams/logos/nba/nyk.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,82
72,26745,0,113,523,Golden State Warriors,GSW,https://assets.unabated.com/teams/logos/nba/gsw.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,72
69,26745,1,116,524,Dallas Mavericks,DAL,https://assets.unabated.com/teams/logos/nba/dal.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,69
75,26747,0,25,525,LA Clippers,LAC,https://assets.unabated.com/teams/logos/nba/lac.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,75
87,26747,1,30,526,Portland Trail Blazers,POR,https://assets.unabated.com/teams/logos/nba/por.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,87
85,26749,0,,527,Philadelphia 76ers,PHI,https://assets.unabated.com/teams/logos/nba/phi.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,85
68,26749,1,,528,Cleveland Cavaliers,CLE,https://assets.unabated.com/teams/logos/nba/cle.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,68
84,26752,1,,530,Orlando Magic,ORL,https://assets.unabated.com/teams/logos/nba/orl.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,84
63,26752,0,,529,Atlanta Hawks,ATL,https://assets.unabated.com/teams/logos/nba/atl.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,63
78,26754,0,,531,Miami Heat,MIA,https://assets.unabated.com/teams/logos/nba/mia.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,78
64,26754,1,,532,Boston Celtics,BOS,https://assets.unabated.com/teams/logos/nba/bos.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,64
79,26756,0,,533,Milwaukee Bucks,MIL,https://assets.unabated.com/teams/logos/nba/mil.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,79
92,26759,0,,535,Washington Wizards,WAS,https://assets.unabated.com/teams/logos/nba/was.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,92
65,26759,1,,536,Brooklyn Nets,BKN,https://assets.unabated.com/teams/logos/nba/bkn.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,65
89,26761,0,,537,San Antonio Spurs,SAS,https://assets.unabated.com/teams/logos/nba/sas.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,89
83,26761,1,,538,Oklahoma City Thunder,OKC,https://assets.unabated.com/teams/logos/nba/okc.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,83
77,26764,0,,539,Memphis Grizzlies,MEM,https://assets.unabated.com/teams/logos/nba/mem.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,77
80,26764,1,,540,Minnesota Timberwolves,MIN,https://assets.unabated.com/teams/logos/nba/min.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,80
90,26766,0,,541,Toronto Raptors,TOR,https://assets.unabated.com/teams/logos/nba/tor.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,90
81,26766,1,,542,New Orleans Pelicans,NOP,https://assets.unabated.com/teams/logos/nba/nop.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,81
86,26768,1,,548,Phoenix Suns,PHX,https://assets.unabated.com/teams/logos/nba/phx.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,86
67,26768,0,,547,Chicago Bulls,CHI,https://assets.unabated.com/teams/logos/nba/chi.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,67
91,26770,1,,546,Utah Jazz,UTA,https://assets.unabated.com/teams/logos/nba/uta.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,91
73,26773,0,,543,Houston Rockets,HOU,https://assets.unabated.com/teams/logos/nba/hou.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,73
70,26773,1,,544,Denver Nuggets,DEN,https://assets.unabated.com/teams/logos/nba/den.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,70
74,26775,0,,549,Indiana Pacers,IND,https://assets.unabated.com/teams/logos/nba/ind.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,74
88,26775,1,,550,Sacramento Kings,SAC,https://assets.unabated.com/teams/logos/nba/sac.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,88
76,26778,1,,552,Los Angeles Lakers,LAL,https://assets.unabated.com/teams/logos/nba/lal.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,76
66,26782,1,,,Charlotte Hornets,CHA,https://assets.unabated.com/teams/logos/nba/cha.svg,3,,,,[],0001-01-01T00:00:00,,0001-01-01T00:00:00,,66
