Name,bookId,isActive,isPrivileged,statusId,modifiedDate,nyBook,sharpBook
Unabated,49,True,True,0,2022-03-16T21:38:37.525262,0.0,1.0
Pinnacle - Delayed,58,True,False,2,2022-08-17T12:18:20.442277,0.0,1.0
Sporttrade,67,True,False,1,2022-10-19T15:13:04.358892,0.0,0.0
theScore,60,True,False,1,2022-08-25T18:02:36.780451,0.0,0.0
FanDuel - Delayed,57,True,False,2,2022-06-09T14:45:56.826297,1.0,0.0
DraftKings,1,True,False,1,2022-06-28T15:42:41.593641,1.0,0.0
SuperBook,28,True,False,1,2022-07-03T21:40:32.433931,0.0,0.0
BetMGM,4,True,False,3,2022-07-28T13:36:35.331082,1.0,0.0
PointsBet,3,True,False,2,2022-08-27T03:32:48.307845,1.0,0.0
BetOnline,9,True,False,2,2021-07-07T02:13:52.730139,0.0,0.0
Bovada,10,True,False,2,2022-07-25T21:46:50.611646,0.0,0.0
Buckeye,59,True,False,1,2022-09-11T16:35:18.645487,0.0,0.0
Unibet,31,True,False,2,2021-07-07T02:13:52.730139,0.0,0.0
LowVig,53,True,False,2,2022-05-24T17:32:35.185572,0.0,0.0
Sugarhouse,27,True,False,3,2022-07-28T13:36:37.111781,0.0,0.0
BetAmerica,15,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Betfred,16,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Circa Pool,64,True,False,2,2022-09-28T01:29:59.186787,0.0,0.0
DeckPrism,11,True,True,1,2021-07-07T02:13:52.730139,0.0,0.0
FanDuel,2,True,False,1,2022-06-28T16:18:24.527118,1.0,0.0
BetWay,40,True,False,3,2021-11-24T20:44:38.40807,0.0,0.0
BetWildwood,19,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Borgata,18,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Elite Sportsbook,34,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
FireKeepers,41,True,False,3,2021-11-24T20:44:38.40807,0.0,0.0
Four Winds,22,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
FoxBet,21,True,False,2,2022-09-26T17:40:23.640967,0.0,0.0
Fubo,42,True,False,3,2021-11-24T20:44:38.40807,0.0,0.0
GamBetDC,43,True,False,3,2021-11-24T20:44:38.40807,0.0,0.0
Golden Nugget,23,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Gun Lake,44,True,False,3,2021-11-24T20:44:38.40807,0.0,0.0
Hard Rock,24,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
MaximBet,45,True,False,3,2021-11-24T20:44:38.40807,0.0,0.0
Parx,25,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Play Maverick Sports,35,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
PlayUp,39,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Resorts,26,True,False,3,2021-07-07T02:13:52.730139,1.0,0.0
SBK,46,True,False,3,2021-11-24T20:44:38.40807,0.0,0.0
SI,47,False,False,3,2022-07-26T20:38:22.617832,0.0,0.0
Tipico,29,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
TwinSpires,30,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
William Hill,5,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Wind Creek,32,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
DraftKings Pool,63,True,False,2,2022-09-28T01:29:59.186787,0.0,0.0
OfficeFootballPool,61,True,False,2,2022-09-22T14:44:10.00622,0.0,0.0
RunYourPool,62,True,False,2,2022-09-22T14:44:10.00622,0.0,0.0
SuperContest Pool,65,True,False,2,2022-09-28T01:29:59.186787,0.0,0.0
TheScore (Unused Dupe),48,False,False,2,2021-11-24T20:44:38.40807,0.0,0.0
888sports,13,False,False,3,2022-07-26T20:38:01.678645,0.0,0.0
YouWager,56,True,False,2,2022-04-20T19:33:05.235394,0.0,0.0
SportsBetting,54,True,False,2,2022-04-20T19:33:05.235394,0.0,0.0
Intertops,55,True,False,2,2022-04-20T19:33:05.235394,0.0,0.0
Matchbook,52,True,False,2,2022-06-21T20:11:34.559927,0.0,0.0
5Dimes,51,True,False,2,2022-04-20T19:33:05.235394,0.0,0.0
Action24/7,12,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
BallyBet,38,True,False,3,2021-07-07T02:13:52.730139,1.0,0.0
Barstool,36,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Bet365,14,True,False,3,2021-07-07T02:13:52.730139,0.0,0.0
Retail Consensus,50,False,False,2,2022-04-07T22:20:45.343532,0.0,0.0
Pinnacle,7,True,True,2,2022-10-24T15:46:35.636137,0.0,1.0
WynnBet,33,True,False,2,2022-10-31T16:22:07.064598,1.0,0.0
Caesars,20,True,False,2,2022-11-08T15:00:33.647225,1.0,0.0
BetRivers,17,True,False,2,2022-11-08T15:01:04.866956,1.0,0.0
Bookmaker,8,True,False,1,2022-11-16T14:45:57.768571,0.0,1.0
Prophet Exchange,66,True,False,1,2022-11-16T22:12:44.347255,0.0,1.0
Circa,6,True,True,2,2022-11-25T13:16:52.580403,0.0,0.0
